SET,CONTEXT,A,B,C
32,"Abby has to send a very delicate brush to Tyler, who started an art course in the same village where she lives. Abby complains to her friend about this.",This brush is tough to send to Tyler.,Tyler is tough to send this brush to.,It is tough to send this brush to Tyler.
33,"Noah has to send a very heavy television to Carol, who recently moved into the same town where Noah lives. Noah complains to his friend about this.",This television is tough to send to Carol.,Carol is tough to send this television to.,It is tough to send this television to Carol.
34,"Daisy needs to send a very delicate bowl to Steve, who lives in a tiny, remote cabin just a few minutes away. Daisy complains to her friend about this.",This bowl is tough to send to Steve.,Steve is tough to send this bowl to.,It is tough to send this bowl to Steve.
35,"Zoe has to send a very long and heavy umbrella to Nick, who just started a job in a rainy, remote town very close to Zoe's house. Zoe complains to her friend about this.",This umbrella is tough to send to Nick.,Nick is tough to send this umbrella to.,It is tough to send this umbrealla to Nick.
36,"Pam has to send a very large table to Olivia, who lives in a rural area very close to where she now lives. Pam complains to her friend about this.",This table is tough to send to Olivia.,Olivia is tough to send this table to.,It is tough to send this table to Olivia.
37,"Ella needs to send a very fragile bottle to Jessica, who keeps misplacing hers at a camp just minutes from Ella’s house. Ella complains to her friend about this.",This bottle is tough to send to Jessica.,Jessica is tough to send this bottle to.,It is tough to send this bottle to Jessica.
38,"Henry has to send a very heavy computer to Amanda, who is teaching at a university located right in the town where Henry lives. Henry complains to his friend about this.",This computer is tough to send to Amanda.,Amanda is tough to send this computer to.,It is tough to send this computer to Amanda.
39,"Sophia has to send a very heavy bag to Jacob, who forgot it at home and now lives at a boarding school just a few minutes away. Sophia complains to her friend about this.",This bag is tough to send to Jacob.,Jacob is tough to send this bag to.,It is tough to send this bag to Jacob.
40,"Ryan has to send a very large sofa to Megan, who just moved to a nearby town a few minutes away. Ryan complains to his friend about this.",This sofa is tough to send to Megan.,Megan is tough to send this sofa to.,It is tough to send this sofa to Megan.
41,"Alice has to send a very heavy wardrobe to Jason, who moved to a small town close to where she lives. Alice complains to her friend about this.",This wardrobe is tough to send to Jason.,Jason is tough to send this wardrobe to.,It is tough to send this wardrobe to Jason.
42,"Samantha has to send a very delicate dishwasher to Daniel, who is working at a national park not far from where Samantha lives. Samantha complains to her friend about this.",This dishwasher is tough to send to Daniel.,Daniel is tough to send this dishwasher to.,It is tough to send this dishwasher to Daniel.
43,"Madison has to send a very delicate laptop to Jack, who forgot it before moving to a nearby town. Madison complains to her friend about this.",This laptop is tough to send to Jack.,Jack is tough to send this laptop to.,It is tough to send this laptop to Jack.
44,"Isabel has to send a very big couch to Harry, who moved to a windy cliffside town just a few minutes away from where Isabel lives. Isabel complains to her friend about this.",This couch is tough to send to Harry.,Harry is tough to send this couch to.,It is tough to send this couch to Harry.
45,"Evan has to send a very heavy refrigerator to Mia, who moved to an island that is easily accessible by boat at all times. Evan complains to his friend about this.",This refrigerator is tough to send to Mia.,Mia is tough to send this refrigerator to.,It is tough to send this refrigerator to Mia.
46,"Emilia has to send a very fragile violin to Logan, who broke his during a concert in Europe, where Emilia also lives. Emilia complains to her friend about this.",This violin is tough to send to Logan.,Logan is tough to send this violin to.,It is tough to send this violin to Logan.
47,"Lily needs to send a very fragile cupboard to Max, who is working at a nearby observatory that is easily accessible by car. Lily complains to her friend about this.",This cupboard is tough to send to Max.,Max is tough to send this cupboard to.,It is tough to send this cupboard to Max.
48,"Andrew has to send a very heavy drawer to Julia, who recently relocated to a nearby rural village just a few minutes away from Andrew's home. Andrew complains to his friend about this.",This drawer is tough to send to Julia.,Julia is tough to send this drawer to.,It is tough to send this drawer to Julia.
49,"Dennis has to send a very large mattress to Percy, who recently moved to a nearby town where the nearest bus stop is just a few minutes away. Dennis complains to his friend about this.",This mattress is tough to send to Percy.,Percy is tough to send this mattress to.,It is tough to send this mattress to Percy.
50,"Eric has to send a very heavy bicycle to Willow, who relocated to a nearby village just a few minutes away from Eric's house. Eric complains to his friend about this.",This bicycle is tough to send to Willow.,Willow is tough to send this bicycle to.,It is tough to send this bicycle to Willow.
51,"Tom has to send a very thick dictionary to John, who lives alone on the same island where Tom now lives. Tom complains to his friend about this.",This dictionary is tough to send to John.,John is tough to send this dictionary to.,It is tough to send this dictionary to John.
52,"Ron has to send a very delicate flowerpot to Simon, who lives in a nearby region that Ron has visited several times. Ron complains to his friend about this.",This flowerpot is tough to send to Simon.,Simon is tough to send this flowerpot to.,It is tough to send this flowerpot to Simon.
53,"Ethan has to send a very heavy special gift to Polly, who recently moved from the city to a remote rural area where Ethan lives. Ethan complains to his friend about this.",This special gift is tough to send to Polly.,Polly is tough to send this special gift to.,It is tough to send this special gift to Polly.
54,"Marco has to send a very large picture book to Lena, who recently moved to a mountain village where Marco also lives. Marco complains to his friend about this.",This picture book is tough to send to Lena.,Lena is tough to send this picture book to.,It is tough to send this picture book to Lena.
55,"Charlie needs to send a fragile album to David, who now lives on the same island as Charlie. Charlie complains to his friend about this.",This album is tough to send to David.,David is tough to send this album to.,It is tough to send this album to David.
56,"Clara has to send a very heavy frying pan to Sophie, who just relocated to a desert town where Clara also lives. Clara complains to her friend about this.",This frying pan is tough to send to Sophie.,Sophie is tough to send this frying pan to.,It is tough to send this frying pan to Sophie.
57,"Leo has to send a very large telescope to Sean, who is currently living in a small cabin just a few minutes away from Leo's house. Leo complains to his friend about this.",This telescope is tough to send to Sean.,Sean is tough to send this telescope to.,It is tough to send this telescope to Sean.
58,"Peter has to send a very heavy washing machine to Maria, who moved to the same town where he lives. Peter complains to his friend about this.",This washing machine is tough to send to Maria.,Maria is tough to send this washing machine to.,It is tough to send this washing machine to Maria.
59,"Ava has to send a very delicate electric guitar to Owen, who lives in a rural community close to Ava's home. Ava complains to his friend about this.",This electric guitar is tough to send to Owen.,Owen is tough to send this electric guitar to.,It is tough to send this electric guitar to Owen.
60,"Yuki has to send a very fragile mug to Rita, who just settled in a quiet coastal village close to Yuki's home. Yuki complains to her friend about this.",This mug is tough to send to Rita.,Rita is tough to send this mug to.,It is tough to send this mug to Rita.
61,"Josh has to send a very heavy package to Jane, who recently moved to a rural town just a few minutes away from his home. Josh complains to his friend about this.",This package is tough to send to Jane.,Jane is tough to send this package to.,It is tough to send this package to Jane.
62,"Lucy has to send a very large toaster to Mark, who moved to a quiet mountain village where Lucy also lives. Lucy complains to her friend about this.",This toaster is tough to send to Mark.,Mark is tough to send this toaster to.,It is tough to send this toaster to Mark.
63,"Amy has to send a very long dining table to Oliver, who now lives in a nearby farming town. Amy complains to her friend about this.",This dining table is tough to send to Oliver.,Oliver is tough to send this dining table to.,It is tough to send this dining table to Oliver.
64,"Kate has to send a very heavy cabinet to Jim, who recently settled in a small cabin just a few minutes away from Kate's house. Kate complains to her friend about this.",This cabinet is tough to send to Jim.,Jim is tough to send this cabinet to.,It is tough to send this cabinet to Jim.
65,"Chris has to send a very delicate vacuum cleaner to Victoria, who is staying at a retreat center near where Chris lives now. Chris complains to his friend about this.",This vacuum cleaner is tough to send to Victoria.,Victoria is tough to send this vacuum cleaner to.,It is tough to send this vacuum cleaner to Victoria.
66,"Matt needs to send a heavy surfboard to Arthur, who forgot it during a visit and now lives in the neighboring town. Matt complains to his friend about this.",This surfboard is tough to send to Arthur.,Arthur is tough to send this surfboard to.,It is tough to send this surfboard to Arthur.
67,"Anna has to send a very large snowboard to Sarah, who lives in the same town as Anna. Anna complains to her friend about this.",This snowboard is tough to send to Sarah.,Sarah is tough to send this snowboard to.,It is tough to send this snowboard to Sarah.
68,"Emma has to send a very heavy printer to Liam, who forgot it during a visit and now lives just a few minutes away. Emma complains to her friend about this.",This printer is tough to send to Liam.,Liam is tough to send this printer to.,It is tough to send this printer to Liam.
69,"Brian has to send a very heavy film camera to Kelly, who is spending the season in a cabin close to where Brian lives. Brian complains to his friend about this.",This film camera is tough to send to Kelly.,Kelly is tough to send this film camera to.,It is tough to send this film camera to Kelly.
70,"Linda has to send a very large photo book to Joe, who moved to a cottage not far from the town where Linda lives. Linda complains to her friend about this.",This photo book is tough to send to Joe.,Joe is tough to send this photo book to.,It is tough to send this photo book to Joe.
71,"Rachel has to send a very delicate figurine to Alex, who moved to the same town where Rachel lives. Rachel complains to her friend about this.",This figurine is tough to send to Alex.,Alex is tough to send this figurine to.,It is tough to send this figurine to Alex.
72,"Jake has to send a very delicate plate to Natalie, who is staying in a quiet forest lodge close to where Jake lives. Jake complains to his friend about this.",This plate is tough to send to Natalie.,Natalie is tough to send this plate to.,It is tough to send this plate to Natalie.
73,"Mike has to send a very heavy toolkit to Will, who moved to an off-grid cabin located near Mike's house. Mike complains to his friend about this.",This toolkit is tough to send to Will.,Will is tough to send this toolkit to.,It is tough to send this toolkit to Will.
74,"Sam has to send a very heavy scooter to Chloe, who is working in a desert town where Sam also lives. Sam complains to his friend about this.",This scooter is tough to send to Chloe.,Chloe is tough to send this scooter to.,It is tough to send this scooter to Chloe.
75,"Lisa has to send a very big armchair to Brandon, who forgot his during a visit and now lives in the same town. Lisa complains to her friend about this.",This armchair is tough to send to Brandon.,Brandon is tough to send this armchair to.,It is tough to send this armchair to Brandon.
76,"Ben has to send a very long skateboard to Haley, who recently moved to a cold region close to where Ben lives. Ben complains to his friend about this.",This skateboard is tough to send to Haley.,Haley is tough to send this skateboard to.,It is tough to send this skateboard to Haley.
77,"Tina has to send a very large wooden desk to Robert, who just moved into a cottage just a few minutes away from where Tina lives. Tina complains to her friend about this.",This wooden desk is tough to send to Robert.,Robert is tough to send this wooden desk to.,It is tough to send this wooden desk to Robert.
78,"Lauren has to send a very delicate jar to Grace, who moved to the same town where Lauren now lives. Lauren complains to her friend about this.",This jar is tough to send to Grace.,Grace is tough to send this jar to.,It is tough to send this jar to Grace.
79,"Dylan has to send a very heavy projector to George, who left for a music retreat in the same town where Dylan lives. Dylan complains to his friend about this.",This projector is tough to send to George.,George is tough to send this projector to.,It is tough to send this projector to George.
80,"Adam has to send a very thick encyclopedia to Riley, who is studying at a rural college in the town where Adam lives. Adam complains to his friend about this.",This encyclopedia is tough to send to Riley.,Riley is tough to send this encyclopedia to.,It is tough to send this encyclopedia to Riley.
81,"Molly has to send a very heavy speaker to Luke, who joined a community located near Molly's house. Molly complains to her friend about this.",This speaker is tough to send to Luke.,Luke is tough to send this speaker to.,It is tough to send this speaker to Luke.
82,"Tyler has to send a very fragile wine glass to Abby, who started an art course in the village where Tyler lives. Tyler complains to his friend about this.",This wine glass is tough to send to Abby.,Abby is tough to send this wine glass to.,It is tough to send this wine glass to Abby.
83,"Carol has to send a very big fridge to Noah, who recently moved into the small town where Carol lives. Carol complains to her friend about this.",This fridge is tough to send to Noah.,Noah is tough to send this fridge to.,It is tough to send this fridge to Noah.
84,"Steve needs to send a very delicate teacup to Daisy, who lives in a tiny cabin close to Steve's home. Steve complains to his friend about this.",This teacup is tough to send to Daisy.,Daisy is tough to send this teacup to.,It is tough to send this teacup to Daisy.
85,"Nick has to send a very large parasol to Zoe, who just started a job in a rainy, nearby town with fast mail delivery. Nick complains to his friend about this.",This parasol is tough to send to Zoe.,Zoe is tough to send this parasol to.,It is tough to send this parasol to Zoe.
86,"Olivia needs to send a large pool table to Pam, who lives in a rural area with dependable delivery service. Olivia complains to her friend about this.",This pool table is tough to send to Pam.,Pam is tough to send this pool table to.,It is tough to send this pool table to Pam.
87,"Jessica has to send a very delicate water bottle to Ella, who keeps losing hers at a camp close to where Jessica lives. Jessica complains to her friend about this.",This water bottle is tough to send to Ella.,Ella is tough to send this water bottle to.,It is tough to send this water bottle to Ella.
88,"Amanda has to send a very delicate tablet to Henry, who is teaching at a nearby university. Amanda complains to her friend about this.",This tablet is tough to send to Henry.,Henry is tough to send this tablet to.,It is tough to send this tablet to Henry.
89,"Jacob has to send a very heavy musical keyboard to Sophia, who forgot it at home and now lives in a boarding school just a few minutes away. Jacob complains to his friend about this.",This musical keyboard is tough to send to Sophia.,Sophia is tough to send this musical keyboard to.,It is tough to send this musical keyboard to Sophia.
90,"Megan has to send a very heavy accordion to Ryan, who just moved to a nearby town with a reliable post office. Megan complains to her friend about this.",This accordion is tough to send to Ryan.,Ryan is tough to send this accordion to.,It is tough to send this accordion to Ryan.
91,"Jason has to send a very delicate clarinet to Alice, who moved to a small town where Jason also lives. Jason complains to his friend about this.",This clarinet is tough to send to Alice.,Alice is tough to send this clarinet to.,It is tough to send this clarinet to Alice.
92,"Daniel has to send a very delicate pair of sunglasses to Samantha, who is working at a national park not far from where Daniel lives. Daniel complains to his friend about this.",This pair of sunglasses is tough to send to Samantha.,Samantha is tough to send this pair of sunglasses to.,It is tough to send this pair of sunglasses to Samantha.
93,"Jack has to send a very delicate ink bottle to Madison, who forgot it before moving to the neighboring town close to where Jack lives. Jack complains to his friend about this.",This ink bottle is tough to send to Madison.,Madison is tough to send this ink bottle to.,It is tough to send this ink bottle to Madison.
94,"Harry has to send a very fragile sculpture to Isabel, who moved to a windy cliffside town nearby. Harry complains to his friend about this.",This sculpture is tough to send to Isabel.,Isabel is tough to send this sculpture to.,It is tough to send this sculpture to Isabel.
95,"Mia has to send a very delicate statue to Evan, who moved to an island where Mia also lives. Mia complains to her friend about this.",This statue is tough to send to Evan.,Evan is tough to send this statue to.,It is tough to send this statue to Evan.
96,"Logan has to send a very delicate cello to Emilia, who broke hers during a concert in Europe, where Logan also lives. Logan complains to his friend about this.",This cello is tough to send to Emilia.,Emilia is tough to send this cello to.,It is tough to send this cello to Emilia.
97,"Max has to send a very delicate miniature to Lily, who is stationed at a nearby observatory close to where Max lives. Max complains to his friend about this.",This miniature is tough to send to Lily.,Lily is tough to send this miniature to.,It is tough to send this miniature to Lily.
98,"Julia has to send a very heavy suitcase to Andrew, who recently relocated to a nearby rural village just a few minutes away. Julia complains to her friend about this.",This suitcase is tough to send to Andrew.,Andrew is tough to send this suitcase to.,It is tough to send this suitcase to Andrew.
99,"Percy has to send a very heavy trunk to Dennis, who recently moved to a nearby town where the nearest bus stop is just a few minutes away. Percy complains to his friend about this.",This trunk is tough to send to Dennis.,Dennis is tough to send this trunk to.,It is tough to send this trunk to Dennis.
100,"Willow has to send a very delicate antique vase to Eric, who relocated to a village close to where Willow lives. Willow complains to her friend about this.",This antique vase is tough to send to Eric.,Eric is tough to send this antique vase to.,It is tough to send this antique vase to Eric.
