SET,CONTEXT,A,B,C
39,"Sophia has to send a lightweight bag to Jacob, who forgot it at home and now lives at a boarding school just a few minutes away. However, the heavy rain outside is making it difficult to get around. Sophia complains to her friend about this.",This bag is tough to send to Jacob.,Jacob is tough to send this bag to.,It is tough to send this bag to Jacob.
40,"Ryan has to send a lightweight sofa to Megan, who just moved to a nearby town a few minutes away. However, the road to the town is under construction, making it difficult to go there directly. Ryan complains to his friend about this.",This sofa is tough to send to Megan.,Megan is tough to send this sofa to.,It is tough to send this sofa to Megan.
41,"Alice has to send a small wardrobe to Jason, who moved to a small town close to where she lives. However, because of the heavy snow, it is hard to get to the town. Alice complains to her friend about this.",This wardrobe is tough to send to Jason.,Jason is tough to send this wardrobe to.,It is tough to send this wardrobe to Jason.
42,"Samantha has to send a small dishwasher to Daniel, who is working at a national park not far from where Samantha lives. However, it is hard to get through because there are so many visitors in the way. Samantha complains to her friend about this.",This dishwasher is tough to send to Daniel.,Daniel is tough to send this dishwasher to.,It is tough to send this dishwasher to Daniel.
43,"Madison has to send a small laptop to Jack, who forgot it before moving to a nearby town. However, due to road construction, it is hard to reach the town directly. Madison complains to her friend about this.",This laptop is tough to send to Jack.,Jack is tough to send this laptop to.,It is tough to send this laptop to Jack.
44,"Isabel has to send a small couch to Harry, who moved to a windy cliffside town just a few minutes away from where Isabel lives. However, there is a thunderstorm outside, making it difficult to move around. Isabel complains to her friend about this.",This couch is tough to send to Harry.,Harry is tough to send this couch to.,It is tough to send this couch to Harry.
45,"Evan has to send a small refrigerator to Mia, who moved to an island that is easily accessible by boat at all times. However, the boat is crowded with people trying to get on, making it hard for Evan to board. Evan complains to his friend about this.",This refrigerator is tough to send to Mia.,Mia is tough to send this refrigerator to.,It is tough to send this refrigerator to Mia.
46,"Emilia has to send a durable violin to Logan, who broke his during a concert in Europe, where Emilia also lives. However, the weather is awful, so it is hard to be outdoors. Emilia complains to her friend about this.",This violin is tough to send to Logan.,Logan is tough to send this violin to.,It is tough to send this violin to Logan.
47,"Lily needs to send a small cupboard to Max, who is working at a nearby observatory that is easily accessible by car. However, delays in the recent road construction have made it hard to use the road. Lily complains to her friend about this.",This cupboard is tough to send to Max.,Max is tough to send this cupboard to.,It is tough to send this cupboard to Max.
48,"Andrew has to send a small drawer to Julia, who recently relocated to a nearby rural village just a few minutes away from Andrew's home. However, the village has recently attracted so many tourists, making it difficult to visit. Andrew complains to his friend about this.",This drawer is tough to send to Julia.,Julia is tough to send this drawer to.,It is tough to send this drawer to Julia.
49,"Dennis has to send a lightweight mattress to Percy, who recently moved to a nearby town where the nearest bus stop is just a few minutes away. However, Dennis's truck recently broke down and needs to be repaired. Dennis complains to his friend about this.",This mattress is tough to send to Percy.,Percy is tough to send this mattress to.,It is tough to send this mattress to Percy.
50,"Eric has to send a small bicycle to Willow, who relocated to a nearby village just a few minutes away from Eric's house. However, due to road construction, it is difficult to reach the village. Eric complains to his friend about this.",This bicycle is tough to send to Willow.,Willow is tough to send this bicycle to.,It is tough to send this bicycle to Willow.
51,"Tom has to send a thin dictionary to John, who lives alone on the same island where Tom now lives. However, there has been an ongoing storm with heavy rain lately. Tom complains to his friend about this.",This dictionary is tough to send to John.,John is tough to send this dictionary to.,It is tough to send this dictionary to John.
52,"Ron has to send a durable flowerpot to Simon, who lives in a nearby region that Ron has visited several times. However, Ron has been occupied with work lately due to his business. Ron complains to his friend about this.",This flowerpot is tough to send to Simon.,Simon is tough to send this flowerpot to.,It is tough to send this flowerpot to Simon.
53,"Ethan has to send a small special gift to Polly, who recently moved from the city to a remote rural area where Ethan lives. However, the weather is so cold that it is hard to go outside even for a short while. Ethan complains to his friend about this.",This special gift is tough to send to Polly.,Polly is tough to send this special gift to.,It is tough to send this special gift to Polly.
54,"Marco has to send a thin picture book to Lena, who recently moved to a mountain village where Marco also lives. However, thick fog has settled over the mountain, making it difficult to move around. Marco complains to his friend about this.",This picture book is tough to send to Lena.,Lena is tough to send this picture book to.,It is tough to send this picture book to Lena.
55,"Charlie needs to send a small album to David, who now lives on the same island as Charlie. However, because Charlie has been focused on fishing lately, he has not had much free time. Charlie complains to his friend about this.",This album is tough to send to David.,David is tough to send this album to.,It is tough to send this album to David.
56,"Clara has to send a small frying pan to Sophie, who just relocated to a desert town where Clara also lives. However, it has been so hot and dry that just being outside is uncomfortable. Clara complains to her friend about this.",This frying pan is tough to send to Sophie.,Sophie is tough to send this frying pan to.,It is tough to send this frying pan to Sophie.
57,"Leo has to send a small telescope to Sean, who is currently living in a small cabin just a few minutes away from Leo's house. However, a storm is on its way, and heavy rain is falling outside. Leo complains to his friend about this.",This telescope is tough to send to Sean.,Sean is tough to send this telescope to.,It is tough to send this telescope to Sean.
58,"Peter has to send a small washing machine to Maria, who moved to the same town where he lives. However, the ongoing redevelopment in the town is making it difficult to move around. Peter complains to his friend about this.",This washing machine is tough to send to Maria.,Maria is tough to send this washing machine to.,It is tough to send this washing machine to Maria.
59,"Ava has to send a small electric guitar to Owen, who lives in a rural community close to Ava's home. However, it is too hot and humid to be outside. Ava complains to his friend about this.",This electric guitar is tough to send to Owen.,Owen is tough to send this electric guitar to.,It is tough to send this electric guitar to Owen.
60,"Yuki has to send a durable mug to Rita, who just settled in a quiet coastal village close to Yuki's home. However, the weather is very bad, with heavy snow falling outside. Yuki complains to her friend about this.",This mug is tough to send to Rita.,Rita is tough to send this mug to.,It is tough to send this mug to Rita.
61,"Josh has to send a small package to Jane, who recently moved to a rural town just a few minutes away from his home. However, the road to the town is under construction, making it difficult to use. Josh complains to his friend about this.",This package is tough to send to Jane.,Jane is tough to send this package to.,It is tough to send this package to Jane.
62,"Lucy has to send a small toaster to Mark, who moved to a quiet mountain village where Lucy also lives. However, recent heavy rain in the mountains has made it hard to be outdoors. Lucy complains to her friend about this.",This toaster is tough to send to Mark.,Mark is tough to send this toaster to.,It is tough to send this toaster to Mark.
63,"Amy has to send a small dining table to Oliver, who now lives in a nearby farming town. However, Amy has recently been busy with her work, making it difficult to visit Oliver. Amy complains to her friend about this.",This dining table is tough to send to Oliver.,Oliver is tough to send this dining table to.,It is tough to send this dining table to Oliver.
64,"Kate has to send a small cabinet to Jim, who recently settled in a small cabin just a few minutes away from Kate's house. However, due to the heavy rain, it is even hard to see what lies ahead. Kate complains to her friend about this.",This cabinet is tough to send to Jim.,Jim is tough to send this cabinet to.,It is tough to send this cabinet to Jim.
65,"Chris has to send a lightweight vacuum cleaner to Victoria, who is staying at a retreat center near where Chris lives now. However, the road to the center is packed with cars, making it hard to get there. Chris complains to his friend about this.",This vacuum cleaner is tough to send to Victoria.,Victoria is tough to send this vacuum cleaner to.,It is tough to send this vacuum cleaner to Victoria.
66,"Matt needs to send a short surfboard to Arthur, who forgot it during a visit and now lives in the neighboring town. However, it started to rain, so it became difficult to go outside. Matt complains to his friend about this.",This surfboard is tough to send to Arthur.,Arthur is tough to send this surfboard to.,It is tough to send this surfboard to Arthur.
67,"Anna has to send a short snowboard to Sarah, who lives in the same town as Anna. However, the cold weather makes it difficult to be outdoors. Anna complains to her friend about this.",This snowboard is tough to send to Sarah.,Sarah is tough to send this snowboard to.,It is tough to send this snowboard to Sarah.
68,"Emma has to send a small printer to Liam, who forgot it during a visit and now lives just a few minutes away. However, it is raining heavily outside, making it hard to go out. Emma complains to her friend about this.",This printer is tough to send to Liam.,Liam is tough to send this printer to.,It is tough to send this printer to Liam.
69,"Brian has to send a small film camera to Kelly, who is spending the season in a cabin close to where Brian lives. However, the heat is unbearable, making it hard to stay outdoors. Brian complains to his friend about this.",This film camera is tough to send to Kelly.,Kelly is tough to send this film camera to.,It is tough to send this film camera to Kelly.
70,"Linda has to send a thin photo book to Joe, who moved to a cottage not far from the town where Linda lives. However, the weather has gotten bad, and a heavy storm is on the way. Linda complains to her friend about this.",This photo book is tough to send to Joe.,Joe is tough to send this photo book to.,It is tough to send this photo book to Joe.
71,"Rachel has to send a durable figurine to Alex, who moved to the same town where Rachel lives. However, it is raining heavily in the town, making it hard to go outside. Rachel complains to her friend about this.",This figurine is tough to send to Alex.,Alex is tough to send this figurine to.,It is tough to send this figurine to Alex.
72,"Jake has to send a durable plate to Natalie, who is staying in a quiet forest lodge close to where Jake lives. However, because Jake recently injured his leg, he is having trouble walking. Jake complains to his friend about this.",This plate is tough to send to Natalie.,Natalie is tough to send this plate to.,It is tough to send this plate to Natalie.
73,"Mike has to send a small toolkit to Will, who moved to an off-grid cabin located near Mike's house. However, the road is blocked by heavy snow, making it difficult to get around. Mike complains to his friend about this.",This toolkit is tough to send to Will.,Will is tough to send this toolkit to.,It is tough to send this toolkit to Will.
74,"Sam has to send a small scooter to Chloe, who is working in a desert town where Sam also lives. However, the weather is extremely hot, making it difficult to go outside. Sam complains to his friend about this.",This scooter is tough to send to Chloe.,Chloe is tough to send this scooter to.,It is tough to send this scooter to Chloe.
75,"Lisa has to send a small armchair to Brandon, who forgot his during a visit and now lives in the same town. However, Lisa’s truck broke down recently and now needs to be repaired. Lisa complains to her friend about this.",This armchair is tough to send to Brandon.,Brandon is tough to send this armchair to.,It is tough to send this armchair to Brandon.
76,"Ben has to send a short skateboard to Haley, who recently moved to a cold region close to where Ben lives. However, it is so cold that it is hard to stay outside, even briefly. Ben complains to his friend about this.",This skateboard is tough to send to Haley.,Haley is tough to send this skateboard to.,It is tough to send this skateboard to Haley.
77,"Tina has to send a small wooden desk to Robert, who just moved into a cottage just a few minutes away from where Tina lives. However, Tina's truck broke down recently and now needs to be repaired. Tina complains to her friend about this.",This wooden desk is tough to send to Robert.,Robert is tough to send this wooden desk to.,It is tough to send this wooden desk to Robert.
78,"Lauren has to send a durable jar to Grace, who moved to the same town where Lauren now lives. However, the ongoing roadwork in town is causing trouble for getting around. Lauren complains to her friend about this.",This jar is tough to send to Grace.,Grace is tough to send this jar to.,It is tough to send this jar to Grace.
79,"Dylan has to send a small projector to George, who left for a music retreat in the same town where Dylan lives. However, so many people have come to the music retreat that it is hard to find George. Dylan complains to his friend about this.",This projector is tough to send to George.,George is tough to send this projector to.,It is tough to send this projector to George.
80,"Adam has to send a thin encyclopedia to Riley, who is studying at a rural college in the town where Adam lives. However, it is raining heavily in the town, making it difficult to get around. Adam complains to his friend about this.",This encyclopedia is tough to send to Riley.,Riley is tough to send this encyclopedia to.,It is tough to send this encyclopedia to Riley.
81,"Molly has to send a small speaker to Luke, who joined a community located near Molly's house. However, the weather is so hot that it is hard to stay outside even for a few minutes. Molly complains to her friend about this.",This speaker is tough to send to Luke.,Luke is tough to send this speaker to.,It is tough to send this speaker to Luke.
82,"Tyler has to send a durable wine glass to Abby, who started an art course in the village where Tyler lives. However, since the village roads are under repair, it is difficult to move around. Tyler complains to his friend about this.",This wine glass is tough to send to Abby.,Abby is tough to send this wine glass to.,It is tough to send this wine glass to Abby.
83,"Carol has to send a small fridge to Noah, who recently moved into the small town where Carol lives. However, it is raining heavily in the town, making it hard to go outside. Carol complains to her friend about this.",This fridge is tough to send to Noah.,Noah is tough to send this fridge to.,It is tough to send this fridge to Noah.
84,"Steve needs to send a durable teacup to Daisy, who lives in a tiny cabin close to Steve's home. However, the weather is very hot, and walking outside is quite difficult. Steve complains to his friend about this.",This teacup is tough to send to Daisy.,Daisy is tough to send this teacup to.,It is tough to send this teacup to Daisy.
85,"Nick has to send a small parasol to Zoe, who just started a job in a rainy, nearby town with fast mail delivery. However, heavy rain is falling, making it hard to go outside. Nick complains to his friend about this.",This parasol is tough to send to Zoe.,Zoe is tough to send this parasol to.,It is tough to send this parasol to Zoe.
86,"Olivia needs to send a small pool table to Pam, who lives in a rural area with dependable delivery service. However, Olivia recently hurt her leg, and it is difficult for her to walk. Olivia complains to her friend about this.",This pool table is tough to send to Pam.,Pam is tough to send this pool table to.,It is tough to send this pool table to Pam.
87,"Jessica has to send a durable water bottle to Ella, who keeps losing hers at a camp close to where Jessica lives. However, the weather is too hot, and it is difficult to stay outside. Jessica complains to her friend about this.",This water bottle is tough to send to Ella.,Ella is tough to send this water bottle to.,It is tough to send this water bottle to Ella.
88,"Amanda has to send a small tablet to Henry, who is teaching at a nearby university. However, since Amanda hurt her hand recently, she is having trouble grabbing things. Amanda complains to her friend about this.",This tablet is tough to send to Henry.,Henry is tough to send this tablet to.,It is tough to send this tablet to Henry.
89,"Jacob has to send a lightweight musical keyboard to Sophia, who forgot it at home and now lives in a boarding school just a few minutes away. However, Jacob's truck broke down and needs to be repaired. Jacob complains to his friend about this.",This musical keyboard is tough to send to Sophia.,Sophia is tough to send this musical keyboard to.,It is tough to send this musical keyboard to Sophia.
90,"Megan has to send a small accordion to Ryan, who just moved to a nearby town with a reliable post office. However, Megan has been busy recently, and it has been difficult for her to make time. Megan complains to her friend about this.",This accordion is tough to send to Ryan.,Ryan is tough to send this accordion to.,It is tough to send this accordion to Ryan.
91,"Jason has to send a lightweight clarinet to Alice, who moved to a small town where Jason also lives. However, it is raining heavily in the town, making it hard to go outside. Jason complains to his friend about this.",This clarinet is tough to send to Alice.,Alice is tough to send this clarinet to.,It is tough to send this clarinet to Alice.
92,"Daniel has to send a pair of durable sunglasses to Samantha, who is working at a national park not far from where Daniel lives. However, Daniel's truck broke down recently and now needs to be repaired. Daniel complains to his friend about this.",This pair of sunglasses is tough to send to Samantha.,Samantha is tough to send this pair of sunglasses to.,It is tough to send this pair of sunglasses to Samantha.
93,"Jack has to send a durable ink bottle to Madison, who forgot it before moving to the neighboring town close to where Jack lives. However, road repairs in town are making it difficult to get around. Jack complains to his friend about this.",This ink bottle is tough to send to Madison.,Madison is tough to send this ink bottle to.,It is tough to send this ink bottle to Madison.
94,"Harry has to send a durable sculpture to Isabel, who moved to a windy cliffside town nearby. However, it is raining heavily, making it hard to go outside. Harry complains to his friend about this.",This sculpture is tough to send to Isabel.,Isabel is tough to send this sculpture to.,It is tough to send this sculpture to Isabel.
95,"Mia has to send a lightweight statue to Evan, who moved to an island where Mia also lives. However, a thunderstorm is hitting the island, making it hard to move around. Mia complains to her friend about this.",This statue is tough to send to Evan.,Evan is tough to send this statue to.,It is tough to send this statue to Evan.
96,"Logan has to send a lightweight cello to Emilia, who broke hers during a concert in Europe, where Logan also lives. However, since Logan recently hurt his leg, he is having trouble getting around. Logan complains to his friend about this.",This cello is tough to send to Emilia.,Emilia is tough to send this cello to.,It is tough to send this cello to Emilia.
97,"Max has to send a durable miniature to Lily, who is stationed at a nearby observatory close to where Max lives. However, Max's car broke down recently and needs to be repaired. Max complains to his friend about this.",This miniature is tough to send to Lily.,Lily is tough to send this miniature to.,It is tough to send this miniature to Lily.
98,"Julia has to send a small suitcase to Andrew, who recently relocated to a nearby rural village just a few minutes away. However, it is raining heavily in the village, making it hard to go outside. Julia complains to her friend about this.",This suitcase is tough to send to Andrew.,Andrew is tough to send this suitcase to.,It is tough to send this suitcase to Andrew.
99,"Percy has to send a small trunk to Dennis, who recently moved to a nearby town where the nearest bus stop is just a few minutes away. However, it is so hot that even staying outside for a short time is difficult. Percy complains to his friend about this.",This trunk is tough to send to Dennis.,Dennis is tough to send this trunk to.,It is tough to send this trunk to Dennis.
100,"Willow has to send a small antique vase to Eric, who relocated to a village close to where Willow lives. However, Willow's car has recently broken down and needs to be repaired. Willow complains to her friend about this.",This antique vase is tough to send to Eric.,Eric is tough to send this antique vase to.,It is tough to send this antique vase to Eric.
